Rank,RO,ST,Locid,City,Airport Name,S/L,Hub,CY 10 Enplanements,CY 09 Enplanements,% Change
293,CE,NE,GRI,Grand Island,Central Nebraska Regional,P,N,"37,101","20,136",84.25%
294,SO,MS,GTR,Columbus,Golden Triangle Regional,P,N,"36,329","36,275",0.15%
296,NE,CT,HVN,New Haven,Tweed-New Haven,P,N,"35,854","33,000",8.65%
298,NM,CO,FNL,Fort Collins/Loveland,Fort Collins-Loveland Municipal,P,N,"35,671","31,079",14.78%
299,NM,ID,TWF,Twin Falls,Joslin Field - Magic Valley Regional,P,N,"35,576","26,991",31.81%
300,SO,GA,ABY,Albany,Southwest Georgia Regional,P,N,"35,494","33,044",7.41%
301,NM,WA,PUW,Pullman,Pullman/Moscow Regional,P,N,"35,248","32,443",8.65%
302,CE,IA,DBQ,Dubuque,Dubuque Regional,P,N,"33,861","39,359",-13.97%
303,NM,WA,BFI,Seattle,Boeing Field/King County International,P,N,"33,656","35,863",-6.15%
306,SO,GA,BQK,Brunswick,Brunswick Golden Isles,P,N,"30,059","27,901",7.73%
307,NM,WY,GCC,Gillette,Gillette-Campbell County,P,N,"29,230","26,869",8.79%
308,NM,WA,ALW,Walla Walla,Walla Walla Regional,P,N,"29,064","33,456",-13.13%
309,NM,WY,COD,Cody,Yellowstone Regional,P,N,"28,454","26,631",6.85%
310,WP,CA,CRQ,Carlsbad,McClellan-Palomar,P,N,"28,355","25,160",12.70%
311,GL,OH,YNG,Youngstown,Youngstown-Warren Regional,P,N,"27,717","17,391",59.38%
312,AL,AK,DUT,Unalaska,Unalaska,P,N,"26,711","26,705",0.02%
313,SW,AR,TXK,Texarkana,Texarkana Regional-Webb Field,P,N,"26,690","26,759",-0.26%
314,NM,MT,BTM,Butte,Bert Mooney,P,N,"25,433","25,178",1.01%
316,GL,WI,RHI,Rhinelander,Rhinelander-Oneida County,P,N,"25,137","26,729",-5.96%
318,CE,IA,SUX,Sioux City,Sioux Gateway/Col. Bud Day Field,P,N,"24,701","33,096",-25.37%
319,EA,NY,IAG,Niagara Falls,Niagara Falls International,P,N,"23,849","17,617",35.37%
320,WP,CA,MOD,Modesto,Modesto City County-Harry Sham Field,P,N,"23,487","25,277",-7.08%
321,GL,MI,PLN,Pellston,Pellston Regional Airport of Emmet County,P,N,"23,324","23,913",-2.46%
322,WP,CA,CIC,Chico,Chico Municipal,P,N,"23,272","23,232",0.17%
323,CE,IA,ALO,Waterloo,Waterloo Regional,P,N,"23,206","22,255",4.27%
324,NM,OR,OTH,North Bend,Southwest Oregon Regional,P,N,"23,124","22,395",3.26%
325,EA,PA,IPT,Williamsport,Williamsport Regional,P,N,"22,519","19,834",13.54%
326,WP,MP,GRO,Rota Island,Rota International,P,N,"21,964","26,040",-15.65%
327,WP,NV,EKO,Elko,Elko Regional,P,N,"21,863","20,668",5.78%
328,SW,TX,GGG,Longview,East Texas Regional,P,N,"21,830","24,944",-12.48%
329,GL,MN,BJI,Bemidji,Bemidji Regional,P,N,"21,498","21,934",-1.99%
330,NM,OR,LMT,Klamath Falls,Klamath Falls,P,N,"21,353","20,053",6.48%
331,GL,MI,CMX,Hancock,Houghton County Memorial,P,N,"21,186","24,826",-14.66%
332,NM,WY,RKS,Rock Springs,Rock Springs-Sweetwater County,P,N,"20,993","19,458",7.89%
333,NM,ID,PIH,Arbon Valley,Pocatello Regional,P,N,"20,825","21,039",-1.02%
334,WP,AZ,PGA,Page,Page Municipal,P,N,"20,264","30,574",-33.72%
335,GL,SD,ABR,Aberdeen,Aberdeen Regional,P,N,"20,089","21,100",-4.79%
336,SO,KY,PAH,Paducah,Barkley Regional,P,N,"19,903","18,542",7.34%
337,WP,CA,MMH,Mammoth Lakes,Mammoth Yosemite,P,N,"19,814","6,157",221.81%
338,WP,MP,TNI,Tinian (Municipality),Tinian International,P,N,"19,520","20,291",-3.80%
339,NM,WY,CYS,Cheyenne,Cheyenne Regional/Jerry Olson Field,P,N,"19,507","12,608",54.72%
340,AL,AK,PSG,Petersburg,Petersburg James A Johnson,P,N,"18,468","17,988",2.67%
341,GL,WI,EAU,Eau Claire,Chippewa Valley Regional,P,N,"18,369","13,192",39.24%
342,AL,AK,CDV,Cordova,Merle K (Mudhole) Smith,P,N,"17,856","15,372",16.16%
343,NE,ME,RKD,Rockland,Knox County Regional,P,N,"17,657","14,461",22.10%
344,SW,TX,BPT,Beaumont/Port Arthur,Jack Brooks Regional,P,N,"17,394","21,208",-17.98%
345,SO,MS,MEI,Meridian,Key Field,P,N,"16,871","18,560",-9.10%
346,GL,ND,ISN,Williston,Sloulin Field International,P,N,"16,473","11,338",45.29%
347,GL,MN,BRD,Brainerd,Brainerd Lakes Regional,P,N,"16,404","15,472",6.02%
348,AL,AK,ANI,Aniak,Aniak,P,N,"16,394","16,255",0.86%
349,SO,KY,OWB,Owensboro,Owensboro-Daviess County,P,N,"16,193","10,720",51.05%
350,AL,AK,VDZ,Valdez,Valdez Pioneer Field,P,N,"15,739","14,363",9.58%
