Prefecture,Name,Location,Cs-134,Cs-134 MDA,Cs-137,Cs-137 MDA,Date,Time Measures (sec),Instrument,Lab,Cat 1,Cat 2,Cat 3
愛知県,ダニ退治 ヒノキマット,愛知県江南市,ND,2.60,ND,2.30,2014-07-27,25800,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県小牧市,ND,3.60,ND,3.30,2014-09-25,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県小牧市,ND,3.50,ND,3.20,2014-12-16,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県小牧市,ND,3.10,ND,2.70,2015-01-29,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県小牧市,ND,3.10,ND,2.90,2014-11-19,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県小牧市,ND,3.20,ND,2.90,2014-10-22,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県小牧市,ND,2.90,ND,2.60,2015-05-21,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,3.00,ND,2.70,2015-02-04,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,3.00,ND,2.70,2014-10-30,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,3.30,ND,3.00,2014-11-29,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,3.20,ND,2.90,2014-09-04,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,3.20,ND,2.90,2014-10-01,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,3.20,ND,2.90,2015-01-15,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
愛知県,愛知県私立幼稚園連盟給食影膳調査,愛知県大府市,ND,2.80,ND,2.50,2015-05-28,10800,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
